epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45538,1.49915,3.25635,1.30553,0.00318,0.87143,0.2534,0.1342,1.46497,3.6162,1.24305,0.00036,0.00036,0.00036
2,7.57921,1.46945,2.11608,1.25603,0.00292,0.8,0.12833,0.06499,1.45933,3.68858,1.30455,0.00070337,0.00070337,0.00070337
3,10.548,1.47381,1.92755,1.22794,0.42759,0.5,0.37249,0.14982,1.61842,3.50551,1.36067,0.00100912,0.00100912,0.00100912
4,13.4088,1.45747,1.82863,1.26583,0.72961,0.15435,0.31616,0.13917,1.6946,3.30509,1.4692,0.00127725,0.00127725,0.00127725
5,16.237,1.44078,1.67254,1.25966,0.76777,0.44286,0.5589,0.28761,1.7731,2.29971,1.49475,0.00150776,0.00150776,0.00150776
6,19.1267,1.43343,1.54915,1.24312,0.64074,0.57143,0.57733,0.26383,1.81788,2.16455,1.59849,0.001505,0.001505,0.001505
7,22.0388,1.4384,1.45767,1.23838,0.80849,0.66348,0.69744,0.34776,1.64479,1.74687,1.37721,0.001406,0.001406,0.001406
8,24.8412,1.42854,1.40167,1.23035,0.48202,0.71429,0.467,0.22502,1.63391,2.44082,1.48467,0.001307,0.001307,0.001307
9,27.6516,1.37239,1.27345,1.19234,0.81674,0.7,0.77576,0.39675,1.63368,1.65065,1.38139,0.001208,0.001208,0.001208
10,30.5589,1.34795,1.26991,1.18968,0.73681,0.67995,0.69632,0.35278,1.63275,2.39722,1.37896,0.001109,0.001109,0.001109
